generation, mutation, best makespan
1,38,27.0
2,38,27.0
3,12,27.0
4,10,27.0
5,52,27.0
6,44,26.0
7,27,26.0
8,43,26.0
9,43,26.0
10,1,26.0
11,60,26.0
12,50,26.0
13,10,26.0
14,17,26.0
15,19,26.0
16,36,26.0
17,60,24.0
18,53,24.0
19,63,24.0
20,23,24.0
21,9,24.0
22,51,24.0
23,11,24.0
24,22,24.0
25,45,24.0
26,46,24.0
27,15,24.0
28,63,24.0
29,59,24.0
30,28,24.0
31,41,24.0
32,49,24.0
33,6,24.0
34,8,24.0
35,58,24.0
36,55,24.0
37,63,24.0
38,61,24.0
39,63,24.0
40,17,24.0
41,31,24.0
42,46,24.0
43,42,24.0
44,36,24.0
45,49,24.0
46,17,24.0
47,42,24.0
48,11,24.0
49,44,24.0
50,46,24.0
51,34,24.0
52,9,24.0
53,40,24.0
54,40,24.0
55,57,24.0
56,29,24.0
57,35,24.0
58,17,24.0
59,49,24.0
60,56,24.0
61,55,24.0
62,50,24.0
63,45,24.0
64,53,24.0
65,23,24.0
66,50,24.0
67,48,24.0
68,22,24.0
69,18,24.0
70,16,24.0
71,6,24.0
72,54,24.0
73,29,24.0
74,39,24.0
75,9,24.0
76,30,24.0
77,22,24.0
78,33,23.0
79,59,23.0
80,27,23.0
81,32,23.0
82,61,23.0
83,21,23.0
84,62,23.0
85,29,23.0
86,51,23.0
87,55,23.0
88,50,23.0
89,58,23.0
90,60,23.0
91,58,23.0
92,45,23.0
93,49,23.0
94,42,23.0
95,40,23.0
96,63,23.0
97,28,23.0
98,44,23.0
99,55,23.0
100,19,23.0
101,53,23.0
102,63,23.0
103,32,23.0
104,52,23.0
105,6,23.0
106,53,23.0
107,11,23.0
108,33,23.0
109,45,23.0
110,58,23.0
111,6,23.0
112,36,23.0
113,48,23.0
114,21,23.0
115,9,23.0
116,42,23.0
117,5,23.0
118,57,23.0
119,44,23.0
120,46,23.0
121,41,23.0
122,52,23.0
123,5,23.0
124,66,23.0
125,64,23.0
126,26,23.0
127,34,23.0
128,44,23.0
129,51,23.0
130,28,23.0
131,53,23.0
132,50,23.0
133,7,23.0
134,42,23.0
135,54,23.0
136,60,23.0
137,38,23.0
138,17,23.0
139,53,23.0
140,61,23.0
141,55,23.0
142,8,23.0
143,2,23.0
144,50,23.0
145,30,23.0
146,27,23.0
147,63,23.0
148,64,23.0
149,51,23.0
150,67,23.0
151,34,23.0
152,1,23.0
153,49,23.0
154,62,23.0
155,56,23.0
156,50,23.0
157,36,23.0
158,53,23.0
159,54,23.0
160,25,23.0
161,20,23.0
162,38,23.0
163,25,23.0
164,43,23.0
165,31,23.0
166,17,23.0
167,43,23.0
168,60,23.0
169,48,23.0
170,37,23.0
171,7,23.0
172,61,23.0
173,31,23.0
174,60,23.0
175,46,23.0
176,22,23.0
177,10,23.0
178,30,23.0
179,56,23.0
180,19,23.0
181,51,23.0
182,55,23.0
183,54,23.0
184,10,23.0
185,60,23.0
186,58,23.0
187,26,23.0
188,48,23.0
189,32,23.0
190,36,23.0
191,20,23.0
192,64,23.0
193,28,23.0
194,14,23.0
195,33,23.0
196,15,23.0
197,13,23.0
198,56,23.0
199,39,23.0
200,58,23.0
201,59,23.0
202,36,23.0
203,4,23.0
204,12,23.0
205,25,23.0
206,27,23.0
207,31,23.0
208,20,23.0
209,45,23.0
210,30,23.0
211,24,23.0
212,19,23.0
213,63,23.0
214,51,23.0
215,49,23.0
216,59,23.0
217,53,23.0
218,52,23.0
219,51,23.0
220,21,23.0
221,36,23.0
222,39,23.0
223,36,23.0
224,63,23.0
225,37,23.0
226,60,23.0
227,47,23.0
228,50,23.0
229,34,23.0
230,47,23.0
231,22,23.0
232,61,23.0
233,38,23.0
234,50,23.0
235,17,23.0
236,35,23.0
237,49,23.0
238,50,23.0
239,39,23.0
240,11,23.0
241,51,23.0
242,59,23.0
243,55,23.0
244,62,23.0
245,2,23.0
246,12,23.0
247,30,23.0
248,64,23.0
249,41,23.0
250,52,23.0
251,5,23.0
252,1,23.0
253,51,23.0
254,47,23.0
255,60,23.0
256,6,23.0
257,15,23.0
258,63,23.0
259,49,23.0
260,5,23.0
261,50,23.0
262,23,23.0
263,3,23.0
264,53,23.0
265,55,23.0
266,44,23.0
267,10,23.0
268,56,23.0
269,55,23.0
270,58,23.0
271,10,23.0
272,32,23.0
273,62,23.0
274,48,23.0
275,63,23.0
276,17,23.0
277,58,23.0
278,20,23.0
279,31,23.0
280,8,23.0
281,46,23.0
282,42,23.0
283,7,23.0
284,27,23.0
285,54,23.0
286,67,23.0
287,49,23.0
288,55,23.0
289,58,23.0
290,40,23.0
291,45,23.0
292,15,23.0
293,64,23.0
294,53,23.0
295,62,23.0
296,58,23.0
297,52,23.0
298,21,23.0
299,25,23.0
300,40,23.0
301,45,23.0
302,51,23.0
303,12,23.0
304,18,23.0
305,62,23.0
306,48,23.0
307,22,23.0
308,56,23.0
309,31,23.0
310,18,23.0
311,57,23.0
312,42,23.0
313,57,23.0
314,18,23.0
315,30,23.0
316,9,23.0
317,59,23.0
318,57,23.0
319,11,23.0
320,49,23.0
321,7,23.0
322,4,23.0
323,26,23.0
324,62,23.0
325,29,23.0
326,9,23.0
327,61,23.0
328,8,23.0
329,10,23.0
330,70,23.0
331,19,23.0
332,13,23.0
333,43,23.0
334,4,23.0
335,30,23.0
336,29,23.0
337,59,23.0
338,9,23.0
339,29,23.0
340,35,23.0
341,52,23.0
342,48,23.0
343,55,23.0
344,5,23.0
345,50,23.0
346,19,23.0
347,11,23.0
348,43,23.0
349,43,23.0
350,53,23.0
351,39,23.0
352,53,23.0
353,32,23.0
354,43,23.0
355,38,23.0
356,14,23.0
357,36,23.0
358,40,23.0
359,63,23.0
360,64,23.0
361,58,23.0
362,57,23.0
363,57,23.0
364,63,23.0
365,11,23.0
366,19,23.0
367,6,23.0
368,44,23.0
369,23,23.0
370,51,23.0
371,27,23.0
372,52,23.0
373,60,23.0
374,53,23.0
375,62,23.0
376,23,23.0
377,1,23.0
378,32,23.0
379,36,23.0
380,46,23.0
381,49,23.0
382,39,23.0
383,50,23.0
384,1,23.0
385,14,23.0
386,5,23.0
387,27,23.0
388,50,23.0
389,54,23.0
390,46,23.0
391,9,23.0
392,39,23.0
393,49,23.0
394,20,23.0
395,57,23.0
396,57,23.0
397,15,23.0
398,14,23.0
399,23,23.0
400,6,23.0
401,8,23.0
402,6,23.0
403,26,23.0
404,11,23.0
405,18,23.0
406,39,23.0
407,19,23.0
408,6,23.0
409,26,23.0
410,8,23.0
411,34,23.0
412,58,23.0
413,45,23.0
414,40,23.0
415,25,23.0
416,19,23.0
417,55,23.0
418,56,23.0
419,16,23.0
420,9,23.0
421,40,23.0
422,53,23.0
423,5,23.0
424,31,23.0
425,11,23.0
426,52,23.0
427,45,23.0
428,35,23.0
429,43,23.0
430,60,23.0
431,35,23.0
432,36,23.0
433,2,23.0
434,49,23.0
435,45,23.0
436,60,23.0
437,51,23.0
438,9,23.0
439,34,23.0
440,41,23.0
441,34,23.0
442,21,23.0
443,19,23.0
444,51,23.0
445,58,23.0
446,61,23.0
447,63,23.0
448,52,23.0
449,45,23.0
450,26,23.0
451,54,23.0
452,8,23.0
453,12,23.0
454,36,23.0
455,36,23.0
456,18,23.0
457,36,23.0
458,50,23.0
459,13,23.0
460,53,23.0
461,45,23.0
462,58,23.0
463,26,23.0
464,51,23.0
465,60,23.0
466,56,23.0
467,10,23.0
468,20,23.0
469,63,23.0
470,22,23.0
471,55,23.0
472,54,23.0
473,44,23.0
474,44,23.0
475,65,23.0
476,7,23.0
477,62,23.0
478,61,23.0
479,1,23.0
480,10,23.0
481,63,23.0
482,27,23.0
483,9,23.0
484,8,23.0
485,19,23.0
486,37,23.0
487,16,23.0
488,12,23.0
489,21,23.0
490,49,23.0
491,59,23.0
492,57,23.0
493,14,23.0
494,61,23.0
495,18,23.0
496,40,23.0
497,41,23.0
498,48,23.0
499,39,23.0
500,50,23.0
